X,Y,id,XCOORD,YCOORD
-184184.336629834579071,-2320226.982606961857527,0,-184184.336630,-2320226.982607
-184182.502853556070477,-2320197.642186505720019,0,-184182.502854,-2320197.642187
-184180.669077277561883,-2320175.636871163733304,0,-184180.669077,-2320175.636871
-184171.500195885048015,-2320153.631555821746588,0,-184171.500196,-2320153.631556
-184160.497538213996449,-2320131.626240479759872,0,-184160.497538,-2320131.626240
-184142.159775428968715,-2320107.787148858886212,0,-184142.159775,-2320107.787149
-184121.988236365403282,-2320089.449386073742062,0,-184121.988236,-2320089.449386
-184107.318026137392735,-2320063.776518174912781,0,-184107.318026,-2320063.776518
-184105.484249858884141,-2320030.768545161932707,0,-184105.484250,-2320030.768545
-184099.982921023358358,-2320001.428124705795199,0,-184099.982921,-2320001.428125
-184101.816697301866952,-2319973.921480528078973,0,-184101.816697,-2319973.921481
-184098.149144744849764,-2319950.082388907670975,0,-184098.149145,-2319950.082389
-184096.31536846634117,-2319913.406863337382674,0,-184096.315368,-2319913.406863
-184092.647815909353085,-2319885.90021916013211,0,-184092.647816,-2319885.900219
-184061.47361917476519,-2319876.731337767560035,0,-184061.473619,-2319876.731338
-184039.468303832720267,-2319874.897561489138752,0,-184039.468304,-2319874.897561
-184015.629212212166749,-2319880.398890324402601,0,-184015.629212,-2319880.398890
-183991.790120591584127,-2319884.066442881245166,0,-183991.790121,-2319884.066443
-183964.283476414013421,-2319889.567771716974676,0,-183964.283476,-2319889.567772
-183949.613266186002875,-2319889.567771716974676,0,-183949.613266,-2319889.567772
-183931.275503400946036,-2319873.063785210251808,0,-183931.275503,-2319873.063785
-183909.270188058901113,-2319849.22469358984381,0,-183909.270188,-2319849.224694
-183885.431096438347595,-2319838.222035918850452,0,-183885.431096,-2319838.222036
-183859.758228539256379,-2319807.047839184291661,0,-183859.758229,-2319807.047839
-183832.251584361714777,-2319790.543852677568793,0,-183832.251584,-2319790.543853
-183817.581374133675126,-2319777.707418728154153,0,-183817.581374,-2319777.707419
-183799.243611348618288,-2319764.870984778739512,0,-183799.243611,-2319764.870985
-183769.903190892538987,-2319741.031893157865852,0,-183769.903191,-2319741.031893
-183749.731651829002658,-2319724.527906651608646,0,-183749.731652,-2319724.527907
-183714.889902537426678,-2319700.688815031200647,0,-183714.889903,-2319700.688815
